iter,current_fitness,new_fitness
0,2582.2400000000002,1124.96
1,1124.96,958.6399999999999
2,958.6399999999999,958.6399999999999
3,958.6399999999999,783.7399999999999
4,783.7399999999999,713.04
5,713.04,848.04
6,713.04,848.0400000000001
7,713.04,848.04
8,713.04,848.04
9,713.04,848.04
10,713.04,578.04
11,578.04,578.04
12,578.04,578.04
13,578.04,713.04
14,578.04,578.04
